PLAKA,İL ADI,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim ,Kasım,Aralık
01,ADANA,4.6,5.3,6.1,7.2,9.1,10.6,10.8,10.4,9.1,7.5,5.9,4.4
02,ADIYAMAN,3.8,4.6,5.8,7.3,9.4,11.7,12.2,11.4,9.7,7.2,5.4,3.8
03,AFYONKARAHİSAR,3,4.1,5.2,6.5,8.2,10,11.2,10.7,8.8,6.5,4.8,2.8
04,AĞRI,2.1,3.1,4.4,5.9,7.7,9.8,10.4,10.1,9.1,6.6,4.3,2.1
05,AMASYA,2.1,3.3,4.5,5.9,7.3,8.7,9.5,9.2,7.5,4.8,3.3,2
06,ANKARA,2.7,3.9,5.2,6.6,8.5,10.2,11.4,10.8,9.2,6.7,4.6,2.6
07,ANTALYA,3.63,4,5.56,5.94,6.23,6.36,6.63,6.46,5.87,5.04,4.14,3.57
08,ARTVİN,2.3,3.4,4.4,5.3,6.4,7.1,6.8,6.9,6.4,4.7,3.2,2.1
09,AYDIN,4.1,4.6,5.9,7.2,8.5,10.1,10.8,10.3,9,6.9,5,4.1
10,BALIKESİR,2.9,3.9,5.1,6.5,8.7,10.3,11.4,10.4,8.1,6,4.1,2.8
11,BİLECİK,3.2,3.9,4.8,6.3,8,9.7,10.5,10,8.3,5.7,4.2,3
12,BİNGÖL,3.3,4.3,4.9,5.6,7.1,9.2,9.5,9,8.2,6,4.4,3.1
13,BİTLİS,2.4,3.3,5,5.9,7.4,9.3,9.8,9.7,9.2,5.4,2.9,2
14,BOLU,2.1,3,4.2,5.6,7,8.3,9.2,8.8,7,4.9,3.5,2.1
15,BURDUR,3.8,4.9,5.9,7.1,8.9,10.9,11.8,11,9.2,7.2,5.5,3.3
16,BURSA,2.9,3.4,4.2,5.8,7.8,9.9,10.8,10.1,7.9,5.6,4.1,2.9
17,ÇANAKKALE,3.5,4.3,5.4,7.3,9.5,11.1,11.8,11.2,8.9,6.4,4.4,3.2
18,ÇANKIRI,2.1,3.4,5,6.2,7.8,9.5,10.6,9.9,8.4,6.1,3.8,1.9
19,ÇORUM,2.3,3.5,4.8,6.3,7.5,9,10.2,10,8.3,5.6,3.7,2
20,DENİZLİ,3.7,4.5,5.6,7,9.1,11,11.8,10.9,9.3,6.8,5,3.5
21,DİYARBAKIR,3.8,4.8,5.6,7.1,9.6,12.2,12.4,11.7,10,7.5,5.6,3.9
22,EDİRNE,2.5,3.7,4.7,6.6,8.6,9.9,11,10.5,8.1,5.5,3.4,2.4
23,ELAZIĞ,2.6,3.6,5,6.5,8.7,11,11.7,11,9.2,6.7,4.5,2.3
24,ERZİNCAN,3,4,5.1,6,7.6,9.8,10.9,10.3,8.8,6.4,4.5,2.8
25,ERZURUM,3.2,4.4,5.1,6.3,7.9,10.2,11.2,10.7,9,6.8,4.8,3.1
26,ESKİŞEHİR,2.6,3.8,5.3,6.4,8.5,10.2,11.2,10.7,8.7,6.2,4.3,2.3
27,GAZİANTEP,3.7,4.5,5.7,7.2,8.7,10.6,10.8,10.2,8.9,7.1,5.4,3.6
28,GİRESUN,1.3,1.8,1.7,2.4,2.9,3.8,3.4,2.9,2.3,1.6,2,1.3
29,GÜMÜŞHANE,1.3,3.8,5,6.1,7.4,9,10.1,9.7,7.9,5.5,2.3,0.9
30,HAKKARİ,4.1,5.3,5.9,6.7,8.9,11.8,12.2,11.5,10.1,7.3,5.3,3.9
31,HATAY,3.3,4.5,6,7.4,9.1,10.6,11.1,10.4,9.3,6.9,4.9,3.2
32,ISPARTA,3.8,4.7,5.7,6.8,8.3,10.3,11.2,10.7,9.4,7,5.3,3.3
33,MERSİN,4.8,5.6,6.8,7.6,8.5,9.8,10,9.8,9.1,7.6,5.8,4.7
34,İSTANBUL,2.53,3.06,4.5,5.33,5.9,6.13,6.2,6.23,4.9,3.4,2.84,2.32
35,İZMİR,3.28,3.5,4.93,5.7,6.17,6.17,6.73,6.53,5.73,4.9,3.8,3.12
36,KARS,3.2,4.3,5.2,6,7.3,9.3,10.4,10.2,8.5,6.4,4.6,3.2
37,KASTAMONU,2.4,3.7,4.6,5.8,7.3,8.6,9.9,9.6,7.4,5.6,3.8,2.1
38,KAYSERİ,3.1,4,4.8,6.2,8.3,10.4,11.9,11.4,9.1,6.7,4.8,3
39,KIRKLARELİ,2.6,3.3,4.6,6.2,8.1,8.7,9.6,9.4,7,4.9,3.4,2.3
40,KIRŞEHİR,3.1,4.1,5.1,6.6,8.6,10.6,11.8,11.2,9.3,6.9,5.1,3.1
41,KOCAELİ (İZMİT),1.93,2.34,3.37,4.47,5.13,5.37,5.7,5.63,4.4,3.2,2.65,1.93
42,KONYA,3.8,4.27,5.27,5.27,5.33,5.2,5.7,5.7,5.37,4.8,4.17,3.73
43,KÜTAHYA,3.13,3.73,4.9,5.3,5.5,5.57,6.53,5.97,5.2,4.23,3.73,3.11
44,MALATYA,3.4,4.4,5.6,7.2,9.3,11.6,12.6,11.9,10.1,7.5,5.3,3.1
45,MANİSA,2.8,3.8,5.4,6.6,8.5,10.6,11.3,10.7,9,6.6,4.2,2.5
46,KAHRAMANMARAŞ,3.3,4.1,5.5,6.7,8.1,10,10.5,9.8,8.7,6.6,4.6,3.3
47,MARDİN,4.5,5.1,6,7.3,9.7,12.2,12.4,11.5,10.3,7.7,5.9,4.3
48,MUĞLA,3.25,3.73,5.27,6.17,6.07,6.07,6.4,6.2,5.8,4.7,3.57,3.07
49,MUŞ,2,3,4.6,6.4,8.7,11.3,12,11.5,10,6.8,3.9,1.9
50,NEVŞEHİR,3.2,4.1,5.3,6.7,8.4,10.6,11.9,11.4,9.5,6.5,4.7,3.1
51,NİĞDE,3.7,4.9,5.9,7.1,8.6,10.6,11.7,11.4,9.9,7.4,5.4,3.7
52,ORDU,2.5,3.1,3.4,4.4,5.6,7.1,6.3,6.1,5.2,4.1,3.5,2.5
53,RİZE,2.3,3.1,3.7,4.6,5.6,6.7,5.4,5.3,5,4.2,3.1,2.2
54,SAKARYA (ADAPAZARI),2.5,3.1,3.9,5.3,6.5,8.2,8.9,8.4,6.9,4.6,3.3,2.5
55,SAMSUN,2.7,3.2,3.6,4.7,6.2,8.3,8.8,8.2,6.3,4.6,3.7,2.7
56,SİİRT,3.6,4.5,5.5,6.5,8.9,11.6,12.1,11.4,9.9,7.2,5.2,3.6
57,SİNOP,2.3,3,3.9,5.4,6.8,9,9.8,8.9,6.9,4.8,3.4,2.3
58,SİVAS,2.5,3.5,4.8,6.3,8.1,10.6,12,11.5,9.5,6.5,4.2,2.4
59,TEKİRDAĞ,2.37,2.67,4.07,5.07,5.87,5.83,6.43,6.27,4.83,3.67,2.78,2.14
60,TOKAT,2.7,3.7,4.8,6.3,7.3,8.2,8.7,9.3,8.4,5.9,4.2,2.4
61,TRABZON,2.7,3.3,3.4,4.4,5.5,7.1,5.9,5.6,4.9,4.5,3.7,2.7
62,TUNCELİ,3.4,4.3,5.4,6.6,8.4,10.8,11.5,10.8,9.2,6.6,5,3.1
63,ŞANLIURFA,4.1,5.1,6.4,7.8,10,12.1,12.3,11.4,10,7.9,5.9,4
64,UŞAK,3.8,4.4,5.4,6.7,8.7,10.8,11.6,11.1,9.4,7.2,5.2,3.6
65,VAN,4.6,5.4,6,7.3,9.3,11.7,12.1,11.4,9.8,7.1,5.5,4.2
66,YOZGAT,3,4.2,5.3,6.5,8.1,9.9,11,10.7,8.9,6.6,4.8,3
